,primary_isbn10,title,author,publisher,weeks_on_list
1856,,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,Putnam,0
1857,None,FEAR NOTHING,Lisa Gardner,Dutton,0
1858,None,CHOCOLATE CHIP COOKIE MURDER,Joanne Fluke,Kensington,0
1859,1250019818,LOST LAKE,Sarah Addison Allen,St. Martin's Press,0
1860,316069507,THE GODS OF GUILT,Michael Connelly,"Little, Brown",0
1861,None,STANDUP GUY,Stuart Woods,Putnam,0
1862,62294377,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,Harper,0
1863,None,SWITCHBLADE,Michael Connelly,"Little, Brown",0
1864,345542908,TAKEDOWN TWENTY,Janet Evanovich,Bantam,0
1865,None,FOREVER WITH YOU,Laurelin Paige,Laurelin Paige,0
1866,345539656,INNOCENCE,Dean Koontz,Bantam,0
1867,62294768,WAIT FOR YOU,J Lynn,Morrow,0
1868,None,THE DESTINY OF VIOLET & LUKE (CALLIE & KAYDEN),Jessica Sorensen,Forever,0
1869,147672766X,DOCTOR SLEEP,Stephen King,Scribner,0
1870,62200593,NOS4A2,Joe Hill,Morrow,0
1871,None,DARK WITCH,Nora Roberts,Berkley,0
1872,None,AND THE MOUNTAINS ECHOED,Khaled Hosseini,Riverhead,0
1873,None,SIX YEARS,Harlan Coben,Dutton,0
1874,None,DUST,Patricia Cornwell,Putnam,0
1875,553582011,A DANCE WITH DRAGONS,George R R Martin,Random House,0
1876,345530578,THE RACKETEER,John Grisham,Doubleday,0
1877,None,THE ARRANGEMENT 12,H M Ward,Laree Bailey Press,0
1878,345535537,A GAME OF THRONES: FIVE-BOOK SET,George R R Martin,Bantam,0
1879,,NO GOOD DUKE GOES UNPUNISHED,Sarah MacLean,Avon,0
1880,None,HOSTAGE,Kay Hooper,Berkley,0
1881,None,BROKEN,Kelly Elliott,Kelly Elliott,0
1882,None,MEANT FOR LOVE,Marie Force,"HTJB, Inc.",0
1883,,MIRAGE,Clive Cussler with Jack Du Brul,Putnam,0
1884,None,HOLIDAYS WITH THE WALKER BROTHERS,Nicole Edwards,Nicole Edwards,0
1885,None,IT MUST BE YOUR LOVE,Bella Andre,Oak Press,0
1886,1439153183,TATIANA,Martin Cruz Smith,Simon & Schuster,0
1887,1400065941,THE ALL-GIRL FILLING STATION'S LAST REUNION,Fannie Flagg,Random House,0
1888,None,IS THIS TOMORROW,Caroline Leavitt,Algonquin Books,0
1889,,WE ARE WATER,Wally Lamb,Harper,0
1890,None,JAGGED,Kristen Ashley,Forever,0
1891,345539680,WINNERS,Danielle Steel,Delacorte,0
1892,None,RUMOR HAS IT,Jill Shalvis,Berkley,0
1893,,IDENTICAL,Scott Turow,Grand Central,0
1894,1630350028,THE ARRANGEMENT 11,H M Ward,Laree Bailey Press,0
1895,None,ARCHANGEL'S LEGION,Nalini Singh,Jove,0
1896,,STORM FRONT,John Sandford,Putnam,0
1897,None,THE PERFECT MATCH,Kristan Higgins,Harlequin HQN,0
1898,None,TRUST IN ME,J Lynn,William Morrow Impulse,0
1899,None,THE WAGER,Rachel Van Dyken,Forever,0
1900,385350872,BRIDGET JONES: MAD ABOUT THE BOY,Helen Fielding,Knopf,0
1901,None,THE SIGNATURE OF ALL THINGS,Elizabeth Gilbert,Viking,0
1902,,THE LUMINARIES,Eleanor Catton,"Little, Brown",0
